Vocabulary Size, Context Size, Embedding Mode, Embedding Size, POS Tag, English Lemma, Word Form, Translation Vocabulary Size, Closest Correct Translation, Closest Correct Translation Vocabulary Size, (Average Lemma) Relative Rank, Actual Closest Translation, Average POS Relative Rank
500 , 1 , state , 5 , Proper Noun  , Moscow  ,  ,  ,  ,  , -1 ,  ,
500 , 1 , state , 5 , Proper Noun  , Paris  ,  ,  ,  ,  , -1 ,  ,
500 , 1 , state , 5 , Proper Noun  , England  ,  ,  ,  ,  , -1 ,  ,
500 , 1 , state , 5 , Proper Noun  , Washington  ,  ,  ,  ,  , -1 ,  ,
500 , 1 , state , 5 , Proper Noun  , London  ,  ,  ,  ,  , -1 ,  ,
500 , 1 , state , 5 , Proper Noun  , France  ,  ,  ,  ,  , -1 ,  ,
500 , 1 , state , 5 , Proper Noun  , Russia  , russland , 500 , russia , 500 , 0.04400000000000004 , sure ,
500 , 1 , state , 5 , Proper Noun  , Russia  ,  ,  ,  ,  , 0.04400000000000004 ,  ,
500 , 1 , state , 5 , Proper Noun  , Europe  , europa , 500 , europe , 500 , 0.734 , love ,
500 , 1 , state , 5 , Proper Noun  , Europe  ,  ,  ,  ,  , 0.734 ,  ,
500 , 1 , state , 5 , Proper Noun  ,  ,  ,  ,  ,  ,  ,  , 0.389
500 , 1 , state , 5 , Verb  , (to) go  , ging , 500 , go , 500 , 0.962 , old ,
500 , 1 , state , 5 , Verb  , (to) go  , gehen , 500 , go , 500 , 0.96 , old ,
500 , 1 , state , 5 , Verb  , (to) go  , geht , 500 , go , 500 , 0.962 , old ,
500 , 1 , state , 5 , Verb  , (to) go  ,  ,  ,  ,  , 0.9613333333333333 ,  ,
500 , 1 , state , 5 , Verb  , (to) show  , zeigt , 500 , show , 500 , 0.31799999999999995 , sure ,
500 , 1 , state , 5 , Verb  , (to) show  , zeigen , 500 , show , 500 , 0.33599999999999997 , sure ,
500 , 1 , state , 5 , Verb  , (to) show  ,  ,  ,  ,  , 0.32699999999999996 ,  ,
500 , 1 , state , 5 , Verb  , (to) drive  ,  ,  ,  ,  , -1 ,  ,
500 , 1 , state , 5 , Verb  , (to) make  , gemacht , 500 , made , 500 , 0.6739999999999999 , sure ,
500 , 1 , state , 5 , Verb  , (to) make  , machen , 500 , made , 500 , 0.6619999999999999 , sure ,
500 , 1 , state , 5 , Verb  , (to) make  , macht , 500 , made , 500 , 0.768 , love ,
500 , 1 , state , 5 , Verb  , (to) make  ,  ,  ,  ,  , 0.7013333333333334 ,  ,
500 , 1 , state , 5 , Verb  , (to) do  , tun , 500 , do , 500 , 0.978 , old ,
500 , 1 , state , 5 , Verb  , (to) do  ,  ,  ,  ,  , 0.978 ,  ,
500 , 1 , state , 5 , Verb  , (to) help  ,  ,  ,  ,  , -1 ,  ,
500 , 1 , state , 5 , Verb  , (to) think  ,  ,  ,  ,  , -1 ,  ,
500 , 1 , state , 5 , Verb  , (to) move  ,  ,  ,  ,  , -1 ,  ,
500 , 1 , state , 5 , Verb  , (to) take  , nehmen , 500 , take , 500 , 0.89 , old ,
500 , 1 , state , 5 , Verb  , (to) take  ,  ,  ,  ,  , 0.89 ,  ,
500 , 1 , state , 5 , Verb  , (to) feel  ,  ,  ,  ,  , -1 ,  ,
500 , 1 , state , 5 , Verb  , (to) play  , spielen , 500 , play , 500 , 0.874 , ever ,
500 , 1 , state , 5 , Verb  , (to) play  ,  ,  ,  ,  , 0.874 ,  ,
500 , 1 , state , 5 , Verb  , (to) have  , hatte , 500 , has , 500 , 0.888 , old ,
500 , 1 , state , 5 , Verb  , (to) have  , habe , 500 , has , 500 , 0.886 , old ,
500 , 1 , state , 5 , Verb  , (to) have  , hat , 500 , has , 500 , 0.886 , ever ,
500 , 1 , state , 5 , Verb  , (to) have  , haben , 500 , has , 500 , 0.89 , old ,
500 , 1 , state , 5 , Verb  , (to) have  , hatten , 500 , has , 500 , 0.884 , old ,
500 , 1 , state , 5 , Verb  , (to) have  ,  ,  ,  ,  , 0.8868 ,  ,
500 , 1 , state , 5 , Verb  ,  ,  ,  ,  ,  ,  ,  , 0.8011249999999999
500 , 1 , state , 5 , Adjectives/Adverbs  , Russian  ,  ,  ,  ,  , -1 ,  ,
500 , 1 , state , 5 , Adjectives/Adverbs  , bad  ,  ,  ,  ,  , -1 ,  ,
500 , 1 , state , 5 , Adjectives/Adverbs  , good  , besten , 500 , well , 500 , 0.794 , sure ,
500 , 1 , state , 5 , Adjectives/Adverbs  , good  , besser , 500 , well , 500 , 0.8140000000000001 , sure ,
500 , 1 , state , 5 , Adjectives/Adverbs  , good  , gut , 500 , best , 500 , 0.832 , ever ,
500 , 1 , state , 5 , Adjectives/Adverbs  , good  , gute , 500 , best , 500 , 0.8200000000000001 , ever ,
500 , 1 , state , 5 , Adjectives/Adverbs  , good  ,  ,  ,  ,  , 0.815 ,  ,
500 , 1 , state , 5 , Adjectives/Adverbs  , European  , europäischen , 500 , european , 500 , 0.356 , sure ,
500 , 1 , state , 5 , Adjectives/Adverbs  , European  ,  ,  ,  ,  , 0.356 ,  ,
500 , 1 , state , 5 , Adjectives/Adverbs  , high  , große , 500 , high , 500 , 0.918 , old ,
500 , 1 , state , 5 , Adjectives/Adverbs  , high  , großen , 500 , high , 500 , 0.914 , old ,
500 , 1 , state , 5 , Adjectives/Adverbs  , high  ,  ,  ,  ,  , 0.916 ,  ,
500 , 1 , state , 5 , Adjectives/Adverbs  , small  ,  ,  ,  ,  , -1 ,  ,
500 , 1 , state , 5 , Adjectives/Adverbs  , American  ,  ,  ,  ,  , -1 ,  ,
500 , 1 , state , 5 , Adjectives/Adverbs  ,  ,  ,  ,  ,  ,  ,  , 0.7782857142857142
500 , 1 , state , 5 , Noun  , player  ,  ,  ,  ,  , -1 ,  ,
500 , 1 , state , 5 , Noun  , day  , tagen , 500 , day , 500 , 0.834 , ever ,
500 , 1 , state , 5 , Noun  , day  , tage , 500 , day , 500 , 0.834 , ever ,
500 , 1 , state , 5 , Noun  , day  , tag , 500 , day , 500 , 0.836 , ever ,
500 , 1 , state , 5 , Noun  , day  ,  ,  ,  ,  , 0.8346666666666667 ,  ,
500 , 1 , state , 5 , Noun  , male  , mann , 500 , men , 500 , 0.938 , old ,
