Vocabulary Size, Context Size, Embedding Mode, Embedding Size, POS Tag, English Lemma, Word Form, Translation Vocabulary Size, Closest Correct Translation, Closest Correct Translation Vocabulary Size, (Average Lemma) Relative Rank, Actual Closest Translation, Average POS Relative Rank
500 , 1 , state , 5 , Proper Noun  , moscow  ,  ,  ,  ,  , -1 ,  ,
500 , 1 , state , 5 , Proper Noun  , Paris  ,  ,  ,  ,  , -1 ,  ,
500 , 1 , state , 5 , Proper Noun  , England  ,  ,  ,  ,  , -1 ,  ,
500 , 1 , state , 5 , Proper Noun  , Washington  ,  ,  ,  ,  , -1 ,  ,
500 , 1 , state , 5 , Proper Noun  , London  ,  ,  ,  ,  , -1 ,  ,
500 , 1 , state , 5 , Proper Noun  , France  ,  ,  ,  ,  , -1 ,  ,
500 , 1 , state , 5 , Proper Noun  , Russia  , russia , 500 , russland , 500 , 0.132 , staat ,
500 , 1 , state , 5 , Proper Noun  , Russia  ,  ,  ,  ,  , 0.132 ,  ,
500 , 1 , state , 5 , Proper Noun  , Europe  , europe , 500 , europa , 500 , 0.10599999999999998 , staat ,
500 , 1 , state , 5 , Proper Noun  , Europe  ,  ,  ,  ,  , 0.10599999999999998 ,  ,
500 , 1 , state , 5 , Proper Noun  ,  ,  ,  ,  ,  ,  ,  , 0.119
500 , 1 , state , 5 , Verb  , (to) go  , went , 500 , ging , 500 , 0.882 , acht ,
500 , 1 , state , 5 , Verb  , (to) go  , go , 500 , ging , 500 , 0.884 , acht ,
500 , 1 , state , 5 , Verb  , (to) go  , going , 500 , ging , 500 , 0.884 , acht ,
500 , 1 , state , 5 , Verb  , (to) go  ,  ,  ,  ,  , 0.8833333333333333 ,  ,
500 , 1 , state , 5 , Verb  , (to) show  , show , 500 , zeigt , 500 , 0.23399999999999999 , staat ,
500 , 1 , state , 5 , Verb  , (to) show  ,  ,  ,  ,  , 0.23399999999999999 ,  ,
500 , 1 , state , 5 , Verb  , (to) drive  ,  ,  ,  ,  , -1 ,  ,
500 , 1 , state , 5 , Verb  , (to) make  , made , 500 , macht , 500 , 0.65 , überhaupt ,
500 , 1 , state , 5 , Verb  , (to) make  , making , 500 , gemacht , 500 , 0.608 , überhaupt ,
500 , 1 , state , 5 , Verb  , (to) make  , make , 500 , macht , 500 , 0.61 , überhaupt ,
500 , 1 , state , 5 , Verb  , (to) make  ,  ,  ,  ,  , 0.6226666666666666 ,  ,
500 , 1 , state , 5 , Verb  , (to) do  , does , 500 , tun , 500 , 0.75 , überhaupt ,
500 , 1 , state , 5 , Verb  , (to) do  , doing , 500 , tun , 500 , 0.754 , überhaupt ,
500 , 1 , state , 5 , Verb  , (to) do  , don , 500 , tun , 500 , 0.714 , überhaupt ,
500 , 1 , state , 5 , Verb  , (to) do  , done , 500 , tun , 500 , 0.706 , überhaupt ,
500 , 1 , state , 5 , Verb  , (to) do  , do , 500 , tun , 500 , 0.74 , überhaupt ,
500 , 1 , state , 5 , Verb  , (to) do  , doesn , 500 , tun , 500 , 0.756 , überhaupt ,
500 , 1 , state , 5 , Verb  , (to) do  , did , 500 , tun , 500 , 0.742 , juli ,
500 , 1 , state , 5 , Verb  , (to) do  , didn , 500 , tun , 500 , 0.752 , juli ,
500 , 1 , state , 5 , Verb  , (to) do  ,  ,  ,  ,  , 0.73925 ,  ,
500 , 1 , state , 5 , Verb  , (to) help  ,  ,  ,  ,  , -1 ,  ,
500 , 1 , state , 5 , Verb  , (to) think  ,  ,  ,  ,  , -1 ,  ,
500 , 1 , state , 5 , Verb  , (to) move  ,  ,  ,  ,  , -1 ,  ,
500 , 1 , state , 5 , Verb  , (to) take  , took , 500 , nehmen , 500 , 0.31000000000000005 , staat ,
500 , 1 , state , 5 , Verb  , (to) take  , taken , 500 , nehmen , 500 , 0.29600000000000004 , staat ,
500 , 1 , state , 5 , Verb  , (to) take  , take , 500 , nehmen , 500 , 0.274 , staat ,
500 , 1 , state , 5 , Verb  , (to) take  , taking , 500 , nehmen , 500 , 0.22999999999999998 , staat ,
500 , 1 , state , 5 , Verb  , (to) take  ,  ,  ,  ,  , 0.2775 ,  ,
500 , 1 , state , 5 , Verb  , (to) feel  ,  ,  ,  ,  , -1 ,  ,
500 , 1 , state , 5 , Verb  , (to) play  , play , 500 , spielen , 500 , 0.09399999999999997 , staat ,
500 , 1 , state , 5 , Verb  , (to) play  ,  ,  ,  ,  , 0.09399999999999997 ,  ,
500 , 1 , state , 5 , Verb  , (to) have  , has , 500 , hat , 500 , 0.752 , juli ,
500 , 1 , state , 5 , Verb  , (to) have  , had , 500 , hat , 500 , 0.726 , juli ,
500 , 1 , state , 5 , Verb  , (to) have  , having , 500 , hat , 500 , 0.77 , juli ,
500 , 1 , state , 5 , Verb  , (to) have  , have , 500 , hat , 500 , 0.744 , juli ,
500 , 1 , state , 5 , Verb  , (to) have  ,  ,  ,  ,  , 0.748 ,  ,
500 , 1 , state , 5 , Verb  ,  ,  ,  ,  ,  ,  ,  , 0.6192500000000001
500 , 1 , state , 5 , Adjectives/Adverbs  , Russian  ,  ,  ,  ,  , -1 ,  ,
500 , 1 , state , 5 , Adjectives/Adverbs  , bad  ,  ,  ,  ,  , -1 ,  ,
500 , 1 , state , 5 , Adjectives/Adverbs  , good  , well , 500 , gut , 500 , 0.856 , acht ,
500 , 1 , state , 5 , Adjectives/Adverbs  , good  , best , 500 , gut , 500 , 0.9 , is ,
500 , 1 , state , 5 , Adjectives/Adverbs  , good  , good , 500 , gut , 500 , 0.856 , acht ,
500 , 1 , state , 5 , Adjectives/Adverbs  , good  , better , 500 , gut , 500 , 0.868 , acht ,
500 , 1 , state , 5 , Adjectives/Adverbs  , good  ,  ,  ,  ,  , 0.87 ,  ,
500 , 1 , state , 5 , Adjectives/Adverbs  , European  , european , 500 , europäischen , 500 , 0.03200000000000003 , staat ,
500 , 1 , state , 5 , Adjectives/Adverbs  , European  ,  ,  ,  ,  , 0.03200000000000003 ,  ,
500 , 1 , state , 5 , Adjectives/Adverbs  , high  , high , 500 , große , 500 , 0.28800000000000003 , staat ,
500 , 1 , state , 5 , Adjectives/Adverbs  , high  ,  ,  ,  ,  , 0.28800000000000003 ,  ,
